accepted,bundle_path,campaign_id,candidate_id,code_commit,connected_component_count,created_at_utc,degree_cv,density,environment_target,family,instance_id,intended_hypothesis,largest_component_size,lifecycle_state,modularity,num_edges,num_vertices,params_json,pool_role,rejection_reason,seed,solver_results_used,validation_passed,validation_report_path,variant
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_common_a_seed990101,EXP-MULTILEVEL-EXCEPTION-MINING-001,f01_common_a_seed990101,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:44.212328+00:00,0.3501576714096583,0.04889937106918239,common,F01,f01_common_a_seed990101,modular-noise stress case for multilevel coarsening and quality-time behavior; intended environment stratum: common,160,generated,0.589880946226776,622,160,{},exploratory_candidate,,990101,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f01_common_a_seed990101.json,common_a
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_common_b_seed990102,EXP-MULTILEVEL-EXCEPTION-MINING-001,f01_common_b_seed990102,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:44.501450+00:00,0.3063053023674365,0.05055031446540881,common,F01,f01_common_b_seed990102,modular-noise stress case for multilevel coarsening and quality-time behavior; intended environment stratum: common,160,generated,0.6036330962222669,643,160,{},exploratory_candidate,,990102,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f01_common_b_seed990102.json,common_b
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_common_c_seed990103,EXP-MULTILEVEL-EXCEPTION-MINING-001,f01_common_c_seed990103,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:44.792188+00:00,0.3209279579414685,0.048820754716981135,common,F01,f01_common_c_seed990103,modular-noise stress case for multilevel coarsening and quality-time behavior; intended environment stratum: common,160,generated,0.5921452853820004,621,160,{},exploratory_candidate,,990103,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f01_common_c_seed990103.json,common_c
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_common_scaled_seed990104,EXP-MULTILEVEL-EXCEPTION-MINING-001,f01_common_scaled_seed990104,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:45.070720+00:00,0.33356670586680565,0.03613264427217915,common,F01,f01_common_scaled_seed990104,modular-noise stress case for multilevel coarsening and quality-time behavior; intended environment stratum: common,216,generated,0.6289455776997703,839,216,"{""communities"": 5, ""epsilon"": 0.033, ""n"": 216}",exploratory_candidate,,990104,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f01_common_scaled_seed990104.json,common_scaled
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_server_a_seed990105,EXP-MULTILEVEL-EXCEPTION-MINING-001,f01_server_a_seed990105,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:45.342810+00:00,0.290137359710879,0.050314465408805034,server_expanded,F01,f01_server_a_seed990105,modular-noise stress case for multilevel coarsening and quality-time behavior; intended environment stratum: server_expanded,160,generated,0.579456787109375,640,160,{},exploratory_candidate,,990105,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f01_server_a_seed990105.json,server_a
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_server_b_seed990106,EXP-MULTILEVEL-EXCEPTION-MINING-001,f01_server_b_seed990106,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:45.632666+00:00,0.34923615021606974,0.04819182389937107,server_expanded,F01,f01_server_b_seed990106,modular-noise stress case for multilevel coarsening and quality-time behavior; intended environment stratum: server_expanded,160,generated,0.5961734469847166,613,160,{},exploratory_candidate,,990106,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f01_server_b_seed990106.json,server_b
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_server_scaled_seed990107,EXP-MULTILEVEL-EXCEPTION-MINING-001,f01_server_scaled_seed990107,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:45.888588+00:00,0.3172000767399388,0.02974910394265233,server_expanded,F01,f01_server_scaled_seed990107,modular-noise stress case for multilevel coarsening and quality-time behavior; intended environment stratum: server_expanded,280,generated,0.6869425081688938,1162,280,"{""communities"": 6, ""epsilon"": 0.036, ""n"": 280}",exploratory_candidate,,990107,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f01_server_scaled_seed990107.json,server_scaled
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F01/f01_holdout_a_seed990108,EXP-MULTILEVEL-EXCEPTION-MINING-001,f01_holdout_a_seed990108,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:46.159609+00:00,0.29275242806092794,0.05070754716981132,holdout,F01,f01_holdout_a_seed990108,modular-noise stress case for multilevel coarsening and quality-time behavior; intended environment stratum: holdout,160,holdout_reserved,0.6127804819421909,645,160,{},reserved_holdout,,990108,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f01_holdout_a_seed990108.json,holdout_a
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_common_a_seed990201,EXP-MULTILEVEL-EXCEPTION-MINING-001,f02_common_a_seed990201,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:46.422402+00:00,0.10622230033996563,0.1,common,F02,f02_common_a_seed990201,chain/ring module topology with narrow inter-module cuts; intended environment stratum: common,160,generated,0.8639257248526562,1272,160,{},exploratory_candidate,,990201,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f02_common_a_seed990201.json,common_a
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_common_b_seed990202,EXP-MULTILEVEL-EXCEPTION-MINING-001,f02_common_b_seed990202,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:46.706237+00:00,0.09086550610228138,0.10086477987421384,common,F02,f02_common_b_seed990202,chain/ring module topology with narrow inter-module cuts; intended environment stratum: common,160,generated,0.8640237557021522,1283,160,{},exploratory_candidate,,990202,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f02_common_b_seed990202.json,common_b
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_common_c_seed990203,EXP-MULTILEVEL-EXCEPTION-MINING-001,f02_common_c_seed990203,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:46.978239+00:00,0.11237472341339254,0.09772012578616353,common,F02,f02_common_c_seed990203,chain/ring module topology with narrow inter-module cuts; intended environment stratum: common,160,generated,0.8636515735099665,1243,160,{},exploratory_candidate,,990203,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f02_common_c_seed990203.json,common_c
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_common_scaled_seed990204,EXP-MULTILEVEL-EXCEPTION-MINING-001,f02_common_scaled_seed990204,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:47.236126+00:00,0.07206531643295583,0.09670634920634921,common,F02,f02_common_scaled_seed990204,chain/ring module topology with narrow inter-module cuts; intended environment stratum: common,225,generated,0.8790114075355504,2437,225,"{""epsilon"": 0.033, ""inter_module_edges"": 3, ""intra_module_density"": 0.8800000000000001, ""module_count"": 9, ""module_size"": 25}",exploratory_candidate,,990204,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f02_common_scaled_seed990204.json,common_scaled
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_server_a_seed990205,EXP-MULTILEVEL-EXCEPTION-MINING-001,f02_server_a_seed990205,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:47.482204+00:00,0.1045343444693774,0.09677672955974843,server_expanded,F02,f02_server_a_seed990205,chain/ring module topology with narrow inter-module cuts; intended environment stratum: server_expanded,160,generated,0.8634021860137617,1231,160,{},exploratory_candidate,,990205,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f02_server_a_seed990205.json,server_a
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_server_b_seed990206,EXP-MULTILEVEL-EXCEPTION-MINING-001,f02_server_b_seed990206,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:47.725019+00:00,0.11071786733253,0.09756289308176101,server_expanded,F02,f02_server_b_seed990206,chain/ring module topology with narrow inter-module cuts; intended environment stratum: server_expanded,160,generated,0.8635740587670389,1241,160,{},exploratory_candidate,,990206,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f02_server_b_seed990206.json,server_b
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_server_scaled_seed990207,EXP-MULTILEVEL-EXCEPTION-MINING-001,f02_server_scaled_seed990207,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:48.038678+00:00,0.04628533328613483,0.09273119122257054,server_expanded,F02,f02_server_scaled_seed990207,chain/ring module topology with narrow inter-module cuts; intended environment stratum: server_expanded,320,generated,0.8942839182155992,4733,320,"{""epsilon"": 0.036, ""inter_module_edges"": 3, ""intra_module_density"": 0.95, ""module_count"": 10, ""module_size"": 32}",exploratory_candidate,,990207,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f02_server_scaled_seed990207.json,server_scaled
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F02/f02_holdout_a_seed990208,EXP-MULTILEVEL-EXCEPTION-MINING-001,f02_holdout_a_seed990208,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:48.287938+00:00,0.11002667960206111,0.09842767295597485,holdout,F02,f02_holdout_a_seed990208,chain/ring module topology with narrow inter-module cuts; intended environment stratum: holdout,160,holdout_reserved,0.8637630270799946,1252,160,{},reserved_holdout,,990208,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f02_holdout_a_seed990208.json,holdout_a
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F03/f03_common_a_seed990301,EXP-MULTILEVEL-EXCEPTION-MINING-001,f03_common_a_seed990301,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:48.542200+00:00,0.3912642025870285,0.11576383939177952,common,F03,f03_common_a_seed990301,barbell/lollipop bottleneck topology with separator sensitivity; intended environment stratum: common,184,generated,,1949,184,{},exploratory_candidate,,990301,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f03_common_a_seed990301.json,common_a
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F03/f03_common_b_seed990302,EXP-MULTILEVEL-EXCEPTION-MINING-001,f03_common_b_seed990302,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:48.790116+00:00,0.3967206182821887,0.11101211689237349,common,F03,f03_common_b_seed990302,barbell/lollipop bottleneck topology with separator sensitivity; intended environment stratum: common,184,generated,,1869,184,{},exploratory_candidate,,990302,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f03_common_b_seed990302.json,common_b
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F03/f03_common_c_seed990303,EXP-MULTILEVEL-EXCEPTION-MINING-001,f03_common_c_seed990303,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:49.034408+00:00,0.3938103082861645,0.1133879781420765,common,F03,f03_common_c_seed990303,barbell/lollipop bottleneck topology with separator sensitivity; intended environment stratum: common,184,generated,,1909,184,{},exploratory_candidate,,990303,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f03_common_c_seed990303.json,common_c
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F03/f03_common_scaled_seed990304,EXP-MULTILEVEL-EXCEPTION-MINING-001,f03_common_scaled_seed990304,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:49.304117+00:00,0.4937809580557457,0.10176838579380326,common,F03,f03_common_scaled_seed990304,barbell/lollipop bottleneck topology with separator sensitivity; intended environment stratum: common,202,generated,,2066,202,"{""bridge_length"": 14, ""bridge_width"": 3, ""core_density"": 0.33, ""epsilon"": 0.033}",exploratory_candidate,,990304,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f03_common_scaled_seed990304.json,common_scaled
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F03/f03_server_a_seed990305,EXP-MULTILEVEL-EXCEPTION-MINING-001,f03_server_a_seed990305,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:49.566088+00:00,0.39538694141980774,0.11594202898550725,server_expanded,F03,f03_server_a_seed990305,barbell/lollipop bottleneck topology with separator sensitivity; intended environment stratum: server_expanded,184,generated,,1952,184,{},exploratory_candidate,,990305,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f03_server_a_seed990305.json,server_a
True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/bundles/F03/f03_server_b_seed990306,EXP-MULTILEVEL-EXCEPTION-MINING-001,f03_server_b_seed990306,b560db1c35ad6689fd13a8312963479740604acb,1,2026-05-07T14:52:49.815463+00:00,0.3913903926098583,0.11528866714183891,server_expanded,F03,f03_server_b_seed990306,barbell/lollipop bottleneck topology with separator sensitivity; intended environment stratum: server_expanded,184,generated,,1941,184,{},exploratory_candidate,,990306,False,True,/home/brunoonurb/MPP/audit_reports/multilevel_exception_mining/candidate_pool/exploratory_pool_001/validation_reports/f03_server_b_seed990306.json,server_b
